               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.020122,            0.019661,                   0,             0.85827,             0.51926,             0.66714,             0.40454,            0.047416,            0.086589,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.020088,            0.019221,                   0,             0.86318,             0.51739,             0.66872,             0.40698,            0.047376,            0.086685,                   0,            0.005248,            0.005248,            0.005248
                 146,             0.01997,            0.019299,                   0,             0.85692,             0.51425,             0.66796,             0.40795,            0.047226,            0.086797,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.020016,            0.019561,                   0,             0.86075,              0.5155,              0.6654,             0.40627,            0.047058,            0.087271,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.020155,            0.019486,                   0,             0.85848,             0.51465,             0.66349,             0.40481,            0.046977,             0.08699,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.019859,            0.019286,                   0,             0.85776,              0.5115,              0.6615,             0.40307,            0.047032,            0.088026,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.019635,            0.019408,                   0,             0.86118,             0.51163,             0.66481,             0.40313,            0.047034,            0.087713,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.019858,            0.019435,                   0,             0.86827,             0.51351,             0.66692,             0.40479,            0.047185,             0.08789,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.019443,            0.018829,                   0,             0.87104,             0.51725,              0.6686,             0.40527,            0.047115,            0.088198,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.019706,            0.019107,                   0,             0.87352,             0.51371,             0.66561,             0.40526,             0.04712,            0.089037,                   0,            0.004984,            0.004984,            0.004984
                 154,             0.01978,            0.018982,                   0,             0.87149,             0.51137,             0.66416,              0.4022,            0.047262,            0.089345,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.019844,            0.019261,                   0,             0.87621,              0.5135,             0.66863,              0.4068,             0.04746,            0.089538,                   0,            0.004918,            0.004918,            0.004918
                 156,             0.01946,            0.018895,                   0,              0.8773,             0.51031,             0.66738,              0.4058,            0.047398,            0.089713,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.019569,            0.019265,                   0,             0.88006,              0.5093,             0.67082,             0.40857,            0.047243,            0.089306,                   0,            0.004852,            0.004852,            0.004852
                 158,             0.01939,            0.018957,                   0,             0.87292,             0.50993,             0.66945,             0.40976,            0.047247,            0.089797,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.019241,            0.018878,                   0,             0.87381,             0.50941,             0.66851,             0.41155,            0.047266,            0.089703,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.019272,            0.018727,                   0,             0.87639,             0.50719,             0.66629,             0.41079,            0.047374,            0.089886,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.019501,            0.018769,                   0,             0.87531,             0.50564,             0.66201,             0.41004,            0.047404,            0.089709,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.019448,            0.018914,                   0,             0.87565,             0.50484,             0.65945,             0.40795,            0.047426,            0.089757,                   0,            0.004687,            0.004687,            0.004687
                 163,             0.01921,            0.019103,                   0,             0.88128,              0.5034,             0.66068,             0.41051,            0.047582,              0.0898,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.019392,            0.018818,                   0,             0.88171,             0.50105,             0.66405,              0.4121,            0.047689,            0.089568,                   0,            0.004621,            0.004621,            0.004621
                 165,             0.01934,            0.018744,                   0,             0.87984,             0.50346,             0.66716,             0.41214,            0.047531,            0.089494,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.019185,            0.018631,                   0,             0.88527,             0.50533,             0.67043,              0.4129,            0.047474,            0.089546,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.019399,            0.018862,                   0,             0.88486,              0.5068,             0.67079,             0.41361,            0.047521,            0.089087,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.018917,            0.018475,                   0,             0.87727,             0.50771,             0.67078,              0.4129,            0.047371,            0.089016,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.018963,            0.018533,                   0,             0.88074,              0.5078,             0.67091,             0.41332,            0.047331,            0.089094,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.019167,             0.01868,                   0,             0.87849,             0.50937,             0.67175,              0.4132,            0.047421,            0.089228,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.018967,            0.018409,                   0,             0.87937,             0.51173,             0.67594,             0.41513,            0.047387,            0.088516,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.019059,            0.018462,                   0,             0.87501,             0.51229,             0.67511,             0.41423,             0.04739,            0.088337,                   0,            0.004357,            0.004357,            0.004357
